PS_CATEGORY_CUSTOM_CODE|PS_CATEGORY_NAME|PS_REGION_CUSTOM_CODE|PS_REGION_NAME|PS_REGION_TIMEZONE|PS_REGION_PARENT
1|PAIS|00000000|ARGENTINA|America/Argentina/Buenos_Aires|
2|PROVINCIA|51|CAPITAL FEDERAL|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|52|BUENOS AIRES|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|53|CATAMARCA|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|54|CORDOBA|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|55|CORRIENTES|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|56|CHACO|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|57|CHUBUT|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|58|ENTRE RIOS|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|59|FORMOSA|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|60|JUJUY|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|61|LA PAMPA|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|62|LA RIOJA|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|63|MENDOZA|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|64|MISIONES|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|65|NEUQUEN|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|66|RIO NEGRO|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|67|SALTA|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|68|SAN JUAN|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|69|SAN LUIS|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|70|SANTA CRUZ|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|71|SANTA FE|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|72|SANTIAGO DEL ESTERO|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|73|TUCUMAN|America/Argentina/Buenos_Aires|00000000
2|PROVINCIA|74|TIERRA DEL FUEGO|America/Argentina/Buenos_Aires|00000000
3|DEPARTAMENTO|51001|DEPARTAMENTO 1|America/Argentina/Buenos_Aires|51
3|DEPARTAMENTO|51002|DEPARTAMENTO 2|America/Argentina/Buenos_Aires|51
3|DEPARTAMENTO|51003|DEPARTAMENTO 3|America/Argentina/Buenos_Aires|51
3|DEPARTAMENTO|51004|DEPARTAMENTO 4|America/Argentina/Buenos_Aires|51
3|DEPARTAMENTO|51005|DEPARTAMENTO 5|America/Argentina/Buenos_Aires|51
3|DEPARTAMENTO|51006|DEPARTAMENTO 6|America/Argentina/Buenos_Aires|51
3|DEPARTAMENTO|51007|DEPARTAMENTO 7|America/Argentina/Buenos_Aires|51
3|DEPARTAMENTO|51008|DEPARTAMENTO 8|America/Argentina/Buenos_Aires|51
3|DEPARTAMENTO|51009|DEPARTAMENTO 9|America/Argentina/Buenos_Aires|51
