NM_CONTEST_CUSTOM_CODE|NM_PARTY_NAME|NM_PARTY_ABBREVIATION|NM_PARTY_COLOR|NM_PARTY_LOGO|NM_PARTY_CUSTOM_CODE|NM_CANDIDATE_CUSTOM_CODE|NM_CANDIDATE_ID|NM_CANDIDATE_NAME|NM_CANDIDATE_LAST_NAME|NM_CANDIDATE_GENDER|NM_VICE_CANDIDATE_CUSTOM_CODE|NM_VICE_CANDIDATE_ID|NM_VICE_CANDIDATE_NAME|NM_VICE_CANDIDATE_LAST_NAME|NM_VICE_CANDIDATE_GENDER|NM_ADDITIONAL_INFORMATION
000100|ALIANZA COMPROMISO FEDERAL||#2A0EC4|party/default.png|133|0001000000133A|0001000000133A|LISTA A1|Lista A|MALE||||||8
000100|CAMBIEMOS||#CADD61|party/default.png|135|0001000000135A|0001000000135A|LISTA A CAMBIANDO JUNTOS|Lista A|MALE||||||9
000100|CAMBIEMOS||#CADD61||135|0001000000135B|0001000000135B|501 B DIGNIDAD PARTIDARIA|Lista B|MALE||||||10
000100|CAMBIEMOS||#CADD61||135|0001000000135C|0001000000135C|LISTA 502 C CAMBIANDO JUNTOS|Lista C|MALE||||||11
000100|CAMBIEMOS||#CADD61||135|0001000000135D|0001000000135D|EQUIPO DE GOBIERNO|Lista D|MALE||||||12
000100|CAMBIEMOS||#CADD61||135|0001000000135E|0001000000135E|EL PODER DE LA UNIÓN|Lista E|MALE||||||13
000100|CAMBIEMOS||#CADD61||135|0001000000135F|0001000000135F|REPÚBLICA DE LIBRES E IGUALES|Lista F|MALE||||||14
000100|CAMBIEMOS||#CADD61||135|0001000000135G|0001000000135G|EL CAMINO DEL CAMBIO|Lista G|MALE||||||15
000100|FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES||#7AB965|party/default.png|137|0001000000137A|0001000000137A|LISTA A ROJA|Lista A|MALE||||||17
000100|FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES||#7AB965||137|0001000000137B|0001000000137B|LISTA UNIDAD 2U|Lista B|MALE||||||18
