PS_CATEGORY_CUSTOM_CODE|PS_CATEGORY_NAME|PS_REGION_CUSTOM_CODE|PS_REGION_NAME|PS_REGION_TIMEZONE|PS_REGION_PARENT
1|PAIS|00000000|ARGENTINA|America/Argentina/Buenos_Aires|
2|DISTRITO|51|CAPITAL FEDERAL|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|52|BUENOS AIRES|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|53|CATAMARCA|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|54|CHACO|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|55|CHUBUT|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|56|CORDOBA|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|57|CORRIENTES|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|58|ENTRE RIOS|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|59|FORMOSA|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|60|JUJUY|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|61|LA PAMPA|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|62|LA RIOJA|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|63|MENDOZA|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|64|MISIONES|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|65|NEUQUEN|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|66|RIO NEGRO|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|67|SALTA|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|68|SAN JUAN|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|69|SAN LUIS|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|70|SANTA CRUZ|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|71|SANTA FE|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|72|SANTIAGO DEL ESTERO|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|73|TIERRA DEL FUEGO|America/Argentina/Buenos_Aires|00000000
2|DISTRITO|74|TUCUMAN|America/Argentina/Buenos_Aires|00000000
3|SECCION|51001|SECCION 1|America/Argentina/Buenos_Aires|51
3|SECCION|51002|SECCION 2|America/Argentina/Buenos_Aires|51
3|SECCION|51003|SECCION 3|America/Argentina/Buenos_Aires|51
3|SECCION|51004|SECCION 4|America/Argentina/Buenos_Aires|51
3|SECCION|51005|SECCION 5|America/Argentina/Buenos_Aires|51
3|SECCION|51006|SECCION 6|America/Argentina/Buenos_Aires|51
